song,artist,artist_id,category,genres
"Archie, Marry Me",Alvvays,3kzwYV3OCB010YfXMF0Avt,indie_alt,"['indie pop', 'indie rock', 'shoegaze', 'toronto indie']"
Sexy Boy,Air,1P6U1dCeHxPui5pIrGmndZ,indie_alt,"['ambient pop', 'downtempo', 'electronica', 'trip hop']"
You Can Have It All,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,indie_alt,"['alternative rock', 'anti-folk', 'art pop', 'dream pop', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'new jersey indie', 'permanent wave', 'rock']"
The First Big Weekend,Arab Strap,6g8Jqb5JMfv92eB2r0awTN,indie_alt,"['chamber psych', 'scottish indie', 'slowcore']"
Girl From Mars,Ash,2evydP72Z45DouM4uMGsIE,indie_alt,"['britpop', 'modern rock', 'pop rock']"
New French Girlfriend,The Auteurs,5EtBXjUUyPJmiljpRdN6RJ,indie_alt,['britpop']
Nothing To Be Done,The Pastels,4Nu0EL8c5d2vFHPOcNjlBP,indie_alt,"['alternative pop', 'alternative rock', 'c86', 'lo-fi', 'scottish indie', 'scottish new wave', 'scottish rock', 'tape club', 'twee pop', 'uk post-punk']"
Alison,Slowdive,72X6FHxaShda0XeQw3vbeF,indie_alt,"['alternative rock', 'art pop', 'dream pop', 'indie rock', 'nu gaze', 'reading indie', 'shoegaze']"
Call Me,Blondie,4tpUmLEVLCGFr93o8hFFIB,indie_alt,"['candy pop', 'dance rock', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']"
Just Like Honey,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,indie_alt,"['alternative rock', 'art rock', 'dance rock', 'new wave', 'noise pop', 'nu gaze', 'post-punk', 'punk', 'rock', 'scottish indie', 'shoegaze', 'uk post-punk']"
Genius of Love,Tom Tom Club,1m24736Bdew1oQVxTePOCo,indie_alt,"['dance rock', 'new romantic', 'new wave', 'no wave', 'post-punk']"
Close To Me,The Cure,7bu3H8JO7d0UbMoVzbo70s,indie_alt,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']"
Blue Monday - 2016 Remaster,New Order,0yNLKJebCb8Aueb54LYya3,indie_alt,"['art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']"
This Charming Man - 2011 Remaster,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,indie_alt,"['dance rock', 'madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
Town Called Malice,The Jam,2P560DaOMNDUACoH8ZhOCR,indie_alt,"['dance rock', 'mod revival', 'new wave', 'new wave pop', 'pub rock', 'punk', 'rock', 'ska']"
She Sells Sanctuary,The Cult,49DW3KvkyjHO35mK1JnSyS,indie_alt,"['album rock', 'alternative rock', 'classic rock', 'dance rock', 'glam metal', 'hard rock', 'metal', 'new wave', 'rock']"
Grass,Animal Collective,4kwxTgCKMipBKhSnEstNKj,indie_alt,"['alternative dance', 'alternative rock', 'art pop', 'baltimore indie', 'chillwave', 'dance-punk', 'experimental pop', 'freak folk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'noise pop', 'nu gaze']"
Hope There's Someone,Antony and the Johnsons,4fxp616ALtFWnXfwxnjLzW,indie_alt,"['art pop', 'baroque pop', 'melancholia']"
Wake Up,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,indie_alt,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']"
I Bet You Look Good On The Dancefloor,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,indie_alt,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Killamangiro,Babyshambles,0IBAqjHG8DSaD7PPCGnGiZ,indie_alt,"['dance-punk', 'modern rock', 'new rave', 'rock']"
Like You Love Me,Tauren Wells,3SKza3YPBri1k43LB1Tqy4,inspirational,"['anthem worship', 'ccm', 'christian music', 'christian pop', 'world worship']"
Pilots,Andrew Ripp,7oAskcd3mX9ZzxMPFHYqoN,inspirational,"['acoustic pop', 'indiecoustica', 'neo mellow']"
LET'S STAY HOME TONIGHT,NEEDTOBREATHE,610EjgFatGvVPtib97jQ8G,inspirational,"['acoustic pop', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop', 'indiecoustica', 'neo mellow', 'pop rock', 'worship']"
You,Apollo LTD,2H3EMYFS69dhMmrX9JTkZp,inspirational,"['anthem worship', 'ccm', 'christian pop']"
Can't Quit You,Colton Dixon,52oVYHQ99ORZzeig2YGo4R,inspirational,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
The War We Made,Red,01crEa9G3pNpXZ5m7wuHOk,inspirational,"['alternative metal', 'christian alternative rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
Save Me,Skillet,49bzE5vRBRIota4qeHtQM8,inspirational,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']"
Alive Again,Seventh Day Slumber,6kFLnclYFc3gzpNt13wim5,inspirational,"['ccm', 'christian alternative rock', 'christian metal', 'christian music', 'christian punk', 'christian rock', 'worship']"
What Are You Waiting For,Futur,4Z9WYkdvygjmT03fH7syx9,inspirational,"['christian hard rock', 'christian rock']"
I Won't Look Back,Fireflight,5v6wlK6GCKVovWMbPqSHNy,inspirational,"['christian alternative rock', 'christian music', 'christian rock', 'pixie', 'pop emo']"
Dreams,Rivers & Robots,41yDmxekjnWShKi6nRmzZ4,inspirational,"['ambient worship', 'anthem worship', 'christian pop', 'roots worship']"
Rest,Simon Wester,2qUycRIHExBVUPIoq6RUkO,inspirational,['ambient worship']
Kani (Day),Porya Hatami,6qGn1dMbzeGodjzNfzG4gZ,inspirational,"['drift', 'iranian experimental', 'persian neo-traditional']"
Brave New World (Instrumental),Amanda Lindsey Cook,53Gnd3lGlcL8ua9Yyu9xDP,inspirational,"['anthem worship', 'canadian ccm', 'ccm', 'indiecoustica']"
Come Near,Jaisua,7u5RAgXZgtZJ7yINfxdUc5,inspirational,"['ambient worship', 'cedm', 'christian pop']"
Go Go Go,Hopp,4waJr0z0IXdqWmWxZyVfmG,inspirational,[]
Mark My Hands,Circuit Rider Music,3Et8YPXNSHCS54UK1Z0v6D,inspirational,[]
Alchemy,Damian,3MnicHyslW5NAnIMcOsGeK,inspirational,[]
Collide,Antioch Cape Town,2LSZm1g2gXfZlChtSZVTvx,inspirational,[]
Queen of a Wasteland,Becca Bradley,0qPGusro9QlIqKGlgywzRU,inspirational,['christian pop']
Another In The Fire - Live,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,inspirational,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
What A Beautiful Name - Live,Hillsong Worship,3SgHzT552wy2W8pNLaLk24,inspirational,"['ccm', 'christian music', 'russian ccm', 'world worship', 'worship']"
This Is Holy Ground,Elias Dummer,5gGNIhEw4JfZ7AS6tVjJbi,inspirational,['alternative ccm']
† (just the cross) - Live,Futures,6CZGjSCwsv967PAK4MfqC3,inspirational,['anthem worship']
Just Be,Kim Walker-Smith,4leTWyczsXYGlzUh8sFGSz,inspirational,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Thinking out Loud,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,decades,"['pop', 'uk pop']"
Sorry,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,decades,"['canadian pop', 'pop', 'post-teen pop']"
Roar,Katy Perry,6jJ0s89eD6GaHleKKya26X,decades,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Glad You Came,The Wanted,2NhdGz9EDv2FeUw6udu2g1,decades,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']"
Señorita,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,decades,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
Do I Wanna Know?,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,decades,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Way down We Go,KALEO,7jdFEYD2LTYjfwxOdlVjmc,decades,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']"
Stressed Out,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,decades,"['modern rock', 'rock']"
Howlin' for You,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,decades,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
Psycho,Muse,12Chz98pHFMPJEknJQMWvI,decades,"['modern rock', 'permanent wave', 'rock']"
Love On Top,Beyoncé,6vWDO969PvNqNYHIOW5v0m,decades,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b']"
Adorn,Miguel,360IAlyVv4PCEVjgyMZrxK,decades,"['dance pop', 'hip hop', 'pop', 'r&b', 'urban contemporary']"
Redbone,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,decades,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
Don't,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,decades,"['kentucky hip hop', 'pop', 'pop rap', 'rap', 'trap']"
Best Part (feat. H.E.R.),Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,decades,"['canadian contemporary r&b', 'pop']"
Hear Me Now,Alok,0NGAZxHanS9e0iNHpR8f2W,decades,"['electro house', 'pop nacional']"
Places,Martin Solveig,1bj5GrcLom5gZFF5t949Xl,decades,"['big room', 'dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']"
Secrets - Radio Edit,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,decades,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'trance', 'tropical house']"
Animals - Radio Edit,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,decades,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Barbra Streisand - Radio Edit,Duck Sauce,0q8J3Yj810t5cpAYEJ7gxt,decades,"['disco house', 'electro house', 'filter house', 'vocal house']"
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",05YVYeV4HxYp5rrWalvuE1,decades,"['jazz funk', 'smooth jazz']"
Baby Can I Hold You,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,decades,"['folk', 'lilith', 'pop rock', 'singer-songwriter', ""women's music""]"
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,51Blml2LZPmy7TTiAg47vQ,decades,"['irish rock', 'permanent wave', 'rock']"
What's Love Got to Do with It,Tina Turner,1zuJe6b1roixEKMOtyrEak,decades,"['disco', 'europop', 'new wave pop', 'soft rock']"
The Power Of Love,Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,decades,"['album rock', 'classic rock', 'dance rock', 'folk rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
Let Go,Chama Wijnen,7ftRhte6NNzoF9MIKfKJsP,instrumental,['background music']
FILO,Traßel SüD,4pHuzF93uI0mOvg8E1YgoW,instrumental,[]
High Beliefs,Moments of Clarity,752MndEnUavC68pPM6NtxB,instrumental,['background music']
W.E.,Asa Bjorg,1aFaXuKUvi4TpzZn8cKYRQ,instrumental,[]
Atmos Eleven,Atmos 11,2dm3Qg6j7Y7Dl2yiFCT7MA,instrumental,[]
Bad Guy,Eklipse,6kART38d9tWb1yOcSO40YH,instrumental,"['bow pop', 'classify', 'pop violin']"
Blinding Lights,Vitamin String Quartet,6MERXsiRbur2oJZFgYRDKz,instrumental,"['bow pop', 'classify']"
Señorita,Simply Three,4ZZVk8undJqXJqQ1GHCTp2,instrumental,['classify']
Smells Like Teen Spirit - Piano Cover,Queenz of Piano,17L2cs2P9cHQy3hB7cYLkz,instrumental,[]
Don't Start Now - Piano Arrangement,Costantino Carrara,7eVJh60tcshbgbm26TWISX,instrumental,"['classify', 'piano cover']"
Poetic Wax,Dusty Decks,5mWkhlLhHU9FKT8vU8lBIR,instrumental,['lo-fi beats']
Postman,Carl Dickman,54TSIvYBX40VYtgeqNWm34,instrumental,[]
Lie Down,Kino B,4WXEWjouTmKompLBBGCkE9,instrumental,[]
Tiny Things,Giants' Nest,31WBcBz5f7Od21JVn20Ajn,instrumental,"['chill beats', 'chill out']"
Lef T,DCS Lefty,39Y0ja9MWC0yMdKMFGu4L7,instrumental,[]
Ravel's Bolero,Ferrante & Teicher,17rSwcIT9qu1OybU1lReJB,instrumental,"['adult standards', 'easy listening', 'exotica', 'lounge']"
Sleepwalk,Santo & Johnny,4hGjngc0tPOBwTgTPci3IK,instrumental,['space age pop']
Spanish Harlem - Nuits d'Espagne,Franck Pourcel,0HJyVBZnjRKDT4STU3rGzU,instrumental,"['adult standards', 'easy listening', 'lounge']"
Soleado,John Days,381XbRqPbjN6703cLjKXh7,instrumental,[]
Saute-Mouton,James Last,5UyJW2eCOuXtyYftgbMxZG,instrumental,"['adult standards', 'easy listening']"
Kyoto,Innocent Panda,4YxGTSc5GifPVUD3ILmbsv,instrumental,['chill out']
Lofi Nights,Best Friends Club,7JjgGzq5j7CBkglcvQ48vq,instrumental,[]
Treehouse,Ran the Man,69lVKiR03uaDrGqEgOC2gu,instrumental,['chill out']
Mist,N78,3WhEnQ4wJakzX2poD1QIi7,instrumental,[]
Vibrations From You,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,instrumental,['swedish tropical house']
Astral Wonder,Moon Oceans,39qPWYWkYbi7esvFXiUpss,wellness,[]
Evergreen,Cooper Sams,5dQtzw5YaP9ZCMv0GWymws,wellness,"['background music', 'focus']"
Karlavagnen,Karlavagnen,4tGWXYy3c9EZl0lpf9tp1f,wellness,[]
Montana,Isobel Belano,2seiab24QmTzU4XTr1rjhV,wellness,['background music']
Electron,Sisi Row,7MeJbMhCO5vWIy2RqBIUMy,wellness,[]
A Message of Hope,Elise Magnefold,6NwzoAF59ghN7JuBvwHVex,wellness,['background music']
Morning Haze,Blissful Heaven,4QEyQYiRdLu1c6wzHyp0ds,wellness,[]
White Waves,Lama House,3We2SFbH59mXg6D42TPhWJ,wellness,"['background music', 'background piano', 'calming instrumental']"
Midsummer Sun,Louis Debreaux,1AolHfMZcrDcuJEnoAis6B,wellness,[]
Cold Spring,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,wellness,['neo-classical']
Halvmåne,Månvarv,3npr0emNGSWh2iyRvzEiRI,wellness,[]
Phaedra,Arlette Leduc,3LyPSzNbQ3R4cgHZDUP06T,wellness,['background music']
Eyes of Redemption,Dolores Fernel,6eKcmeh4aN49TVfRmNI3cw,wellness,[]
Sogno Illuminum,Enchanted Feel,6Rfx3Kq2IphTcrtkQRejYX,wellness,[]
Endless Nights,Devansh Tushar,6A6XOlnYgaiM9qfRvSIHQL,wellness,['atmosphere']
Lugnet,Najma Wallin,28XFFzqCAHFNcEdRiuEf71,wellness,[]
Ethereal,Threedust,6340hzyqmfpcSbPZLFC1Gf,wellness,['chill beats']
Spaces,Spirit Minds,3GrOqlDYHDtloOS3v1cnvD,wellness,['background music']
Pampus,Dardan Leistra,1iChBE5eMVIiJBpsUZ0rSH,wellness,[]
Rêvasseur,Charmaine D'Avis,62nJsaKqTjBj5aHPE1RyqZ,wellness,[]
Forever Vanished,Rick Hagen,2hOK2gVqLtyZD0Hd4PpqlH,wellness,['background music']
Warmest Embrace,Dean Valio,5eLXROpXyDsljbkItKaQxc,wellness,[]
Ocean Deep,MAVALA,7v6MC0U94altKRU8VGL0j8,wellness,[]
Phaedra,Arlette Leduc,3LyPSzNbQ3R4cgHZDUP06T,wellness,['background music']
Will you be there when I wake up,Gemma Casimaty,4i2qe6NHlNFfwcQpi6dpFC,wellness,[]
System,Tayla Parx,1LzWWI9v4UKdbBgz8fqi15,pride,['alternative r&b']
HOLIDAY,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,pride,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
two queens in a king sized bed,girl in red,3uwAm6vQy7kWPS2bciKWx9,pride,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie']"
How Low Can You Go,LP,0J7U24vlOOIeMpuaO6Q85A,pride,"['la pop', ""women's music""]"
A Dreamer's Holiday - Spotify Singles,Julien Baker,12zbUHbPHL5DGuJtiUfsip,pride,"['ambient folk', 'art pop', 'indie folk', 'indie pop', 'indie rock']"
I Want To Break Free,Queen,1dfeR4HaWDbWqFHLkxsg1d,pride,"['classic rock', 'glam rock', 'rock']"
It's Raining Men - Single Version,The Weather Girls,19xz1vcuKNjniGEftTOSSH,pride,"['disco', 'hi-nrg']"
Born This Way,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,pride,"['dance pop', 'pop', 'pop dance']"
Don't Go Breaking My Heart,Elton John,3PhoLpVuITZKcymswpck5b,pride,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']"
I'm Coming Out,Diana Ross,3MdG05syQeRYPPcClLaUGl,pride,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
angel rock,Dua Saleh,2DGBzoOLcKLK3eWxFyugdB,pride,"['alternative r&b', 'escape room', 'indie r&b', 'minnesota hip hop', 'sudanese pop']"
The Fall,MERLOT,6wkM5eF4WkRNOOSWmtgW7d,pride,[]
Gospel For A New Century,Yves Tumor,0qu422H5MOoQxGjd4IzHbS,pride,"['art pop', 'chamber psych', 'electronica', 'escape room', 'experimental pop', 'freak folk', 'hyperpop']"
Mean Girls,Tiger Goods,0prZVm6JzjGVsInk26mMDU,pride,[]
Feeling Lucky,Cuee,5vuWUABfGvkUxib7zgMMc6,pride,[]
Final Credits,Midland,1YFLNH4rO40x9i16RpLwdY,pride,"['float house', 'future garage']"
Love Again (Horse Meat Disco Remix) [Mixed],Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pride,"['dance pop', 'pop', 'pop dance', 'uk pop']"
10%,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,pride,"['escape room', 'indie soul', 'lgbtq+ hip hop']"
Watch,Arca,4SQdUpG4f7UbkJG3cJ2Iyj,pride,"['ai', 'art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork']"
Convo,Coco & Breezy,0Adbm5kzcPUxFybf9fhjgG,pride,[]
Carrera,Brokenstra,3ASOHQNInxGLMhs1qMizJW,pride,[]
KLK,Arca,4SQdUpG4f7UbkJG3cJ2Iyj,pride,"['ai', 'art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork']"
Demasiado Bueno,Georgel,0K8M0RUbeMZscUCj1Mb24j,pride,[]
Lento,Lauren Jauregui,3J0BpFVUc9LeOIVeN5uNhU,pride,"['pop', 'post-teen pop', 'r&b']"
Tiburones - Remix,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,pride,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop', 'tropical']"
Na Na - Tommie Sunshine & Disco Fries Remix,Rosette,1I5qyYQc2wT6v7ySVjabBH,party,[]
Moments,D.O.D,0Cs47vvRsPgEfliBU9KDiB,party,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house']"
Techno Prank,Dubdogz,4cdyqaBREB68H77QKCrKP1,party,"['brazilian bass', 'brazilian edm']"
Enough Of You,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,party,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
Deep Down Low,Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,party,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton']"
Sexy Bitch (feat. Akon),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,party,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,23zg3TcAtWQy7J6upgbUnj,party,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Good Feeling,Flo Rida,0jnsk9HBra6NMjO2oANoPY,party,"['dance pop', 'miami hip hop', 'pop', 'pop dance', 'pop rap']"
Only Girl (In The World),Rihanna,5pKCCKE2ajJHZ9KAiaK11H,party,"['barbadian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b', 'urban contemporary']"
Loca People - Radio Edit,Sak Noel,15jrieCvf3EklAScnD9kKl,party,['electro house']
Shower,Becky G,4obzFoKoKRHIphyHzJ35G3,party,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'post-teen pop', 'rap latina', 'reggaeton', 'trap latino']"
Circles,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,party,"['houston rap', 'pop', 'pop rap', 'trap queen']"
Love Not War (The Tampa Beat),Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,party,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
Prisoner (feat. Dua Lipa),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,party,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
My Head & My Heart,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,party,"['dance pop', 'pop']"
Monsters (feat. blackbear),All Time Low,46gyXjRIvN1NL1eCB8GBxo,party,"['modern rock', 'pop punk', 'post-teen pop', 'rock']"
Take Me Out,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,party,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']"
The Best (feat. Alice Merton),AWOLNATION,4njdEjTnLfcGImKZu1iSrz,party,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
Lo/Hi,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,party,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
Brooklyn Bridge To Chorus,The Strokes,0epOFNiUfyON9EYx7Tpr6V,party,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
Body,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,party,"['houston rap', 'pop', 'pop rap', 'trap queen']"
Buss It,Erica Banks,2SXhbucehn00OBVKhzxDyM,party,['trap queen']
Bossa Nova (feat. Tee Grizzley),Kash Doll,3u579Gdap91lMptBSdXTpf,party,"['detroit hip hop', 'hip pop', 'pop r&b', 'trap queen']"
34+35,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,party,"['dance pop', 'pop', 'post-teen pop']"
Like That (feat. Gucci Mane),Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,party,"['dance pop', 'pop']"
Schlafmittel,Felix Hertzog,4B72HNYsUpj9x0cOBi7CJ7,sleep,[]
Étude des Papillons,Planète Sauvage,0xmJOUuXiZ2byN6oc9a3gF,sleep,[]
Sogno Illuminum,Enchanted Feel,6Rfx3Kq2IphTcrtkQRejYX,sleep,[]
Touha,Marie Protivová,1TPDV2kZ1T053LbHOO7ZDW,sleep,[]
Med slutna ögon,Najma Wallin,28XFFzqCAHFNcEdRiuEf71,sleep,[]
Nepenthe,Clyde Boudreaux,2uJ9p2oANjdZ8N5Ni7OL4L,sleep,['background music']
Calm Waves pt. 2,Outside HD Samples,0puqEYQUnviYjUyomzF5rJ,sleep,['water']
Soothing Evening waves Of Nerja 1,Soothing Waves Of Nerja,0k1cImEoI17KHmKiVpSY4X,sleep,['shush']
Pebble Beach Waves,Shoreline Sounds,1AHEZC4lubUe98hmgYLxqw,sleep,['environmental']
Baltic Ocean Wave Sounds,JBE Nature Sounds,4pGknLkW2buCRBkvnMQC5o,sleep,['sound']
Waves in Westhampton Beach,Ocean in HD,2SveYJjEGhckzCzGg3J9Xq,sleep,[]
Atlantic Waves,Wildlife Sound Recordings,6vNQJeVv5muFsw3FdX0Dmp,sleep,[]
Close Ear to Ear Whispered Countdown to Sleep Pt.4,HeatheredEffect ASMR,11uBB2l2Ne1rZCyS1xnv1L,sleep,['asmr']
Let Me Help You Fall Asleep ASMR,Angel's Tempting Tingles ASMR,7ikyizYB9Ur3f0xCqPXMX0,sleep,['asmr']
A is for Apple,ASMR Bedtime,0IL5IV3OVB5XCJXJg6bmZG,sleep,[]
"Super sleepy attention, close positive whispers, inaudible whispers Pt.1",RoseASMR,3CAEqHMxqfTLF9azWWYzmS,sleep,['asmr']
Sleep Clinic Part 2,Karuna Satori ASMR,3gK713oCPxcYsIsfAXSpl5,sleep,['asmr']
Rockabye Baby Reading,ASMR Bedtime,0IL5IV3OVB5XCJXJg6bmZG,sleep,[]
Deeper Sun,Abe Hathot,40tqIiKClGVYgzgxL4YoQw,sleep,"['432hz', 'background music']"
Late in the Afternoon,Project Kronos,27VMhg08I47b1HAt9MFmha,sleep,[]
Placidity - Studio Edit,SARAB,6PM7BEoNAzJtH7BRBgagYI,sleep,[]
Lucent Path,NAYAT,3JjhxaFpKE0rfGl5ik6gNC,sleep,[]
Nada,Clarissa Bitar,3EHSTkb1qOtOUqFSuvZDHH,sleep,[]
Purity 432hz,Nairuz,5Rl9GnnclvARcDxCUMO02Y,sleep,[]
"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,classical,"['baroque', 'classical', 'early music', 'german baroque']"
The Lark Ascending,Ralph Vaughan Williams,7wNkISK49lKeXuRaZcQVFe,classical,"['classical', 'post-romantic era']"
"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,classical,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']"
"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,classical,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,classical,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']"
"O Come, O Come Emmanuel",James Morgan,7mC0zQ4J4cJPNGYFlmiQVC,classical,[]
Silent Night - Piano Version,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,classical,"['adult standards', 'classical tenor', 'italian tenor', 'operatic pop']"
We'll Meet Again,Ross Parker,7uaMCVQ61bttnIqqLiV0kb,classical,[]
My Friend the Forest,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,classical,"['compositional ambient', 'electronica', 'neo-classical', 'neoclassical darkwave']"
Sussex Carol (On Christmas Night) [Live],Traditional,1U5zgr455OGyIkLNXvDdrf,classical,['sleep']
In the Bleak Midwinter,The Sixteen,5y9NnD1AZPcBVbDluRgiXS,classical,"['british choir', 'choral', 'classical', 'classical performance', 'early music', 'early music choir', 'polyphony']"
The Twelve Days Of Christmas,Tenebrae,0vUnn6Eje2O5yxEj35touD,classical,"['british choir', 'chamber choir', 'choral']"
I Wonder as I Wander,Traditional,1U5zgr455OGyIkLNXvDdrf,classical,['sleep']
I Pray - Arr. Paul Campbell,Paul Mealor,18B9HFuIuZ5LOk8vWtaxsG,classical,"['21st century classical', 'british contemporary classical', 'choral']"
Now May We Singen,Cecilia McDowall,4yEgFPjtOoOIlQS3WPiEnr,classical,['british contemporary classical']
The holly and the ivy,Traditional,1U5zgr455OGyIkLNXvDdrf,classical,['sleep']
